draw,total_points_TFT,average_points_TFT,total_points_TFT95,average_points_TFT95
1,2.974,2.974,3.102,3.102
2,2.965,2.965,3.087,3.087
3,2.965,2.965,3.075,3.075
4,2.959,2.959,3.07,3.07
5,2.955,2.955,3.066,3.066
6,2.949,2.949,3.062,3.062
7,2.946,2.946,3.054,3.054
8,2.944,2.944,3.049,3.049
9,2.938,2.938,3.045,3.045
10,2.936,2.936,3.039,3.039
11,2.929,2.929,3.035,3.035
12,2.926,2.926,3.03,3.03
13,2.921,2.921,3.025,3.025
14,2.917,2.917,3.02,3.02
15,2.913,2.913,3.015,3.015
16,2.908,2.908,3.011,3.011
17,2.905,2.905,3.005,3.005
18,2.901,2.901,3.0,3.0
19,2.895,2.895,2.996,2.996
20,2.891,2.891,2.99,2.99
21,2.887,2.887,2.986,2.986
22,2.882,2.882,2.98,2.98
23,2.878,2.878,2.975,2.975
24,2.873,2.873,2.971,2.971
25,2.868,2.868,2.966,2.966
26,2.864,2.864,2.96,2.96
27,2.859,2.859,2.956,2.956
28,2.854,2.854,2.951,2.951
29,2.85,2.85,2.945,2.945
30,2.846,2.846,2.94,2.94
31,2.841,2.841,2.935,2.935
32,2.836,2.836,2.93,2.93
33,2.832,2.832,2.926,2.926
34,2.827,2.827,2.92,2.92
35,2.823,2.823,2.915,2.915
36,2.819,2.819,2.911,2.911
37,2.814,2.814,2.905,2.905
38,2.809,2.809,2.9,2.9
39,2.805,2.805,2.895,2.895
40,2.8,2.8,2.891,2.891
41,2.797,2.797,2.885,2.885
42,2.792,2.792,2.881,2.881
43,2.787,2.787,2.875,2.875
44,2.782,2.782,2.87,2.87
45,2.777,2.777,2.866,2.866
46,2.773,2.773,2.86,2.86
47,2.768,2.768,2.855,2.855
48,2.764,2.764,2.851,2.851
49,2.759,2.759,2.845,2.845
50,2.755,2.755,2.84,2.84
51,2.75,2.75,2.835,2.835
52,2.746,2.746,2.83,2.83
53,2.741,2.741,2.826,2.826
54,2.737,2.737,2.82,2.82
55,2.733,2.733,2.815,2.815
56,2.728,2.728,2.81,2.81
57,2.724,2.724,2.805,2.805
58,2.719,2.719,2.801,2.801
59,2.714,2.714,2.795,2.795
60,2.71,2.71,2.79,2.79
61,2.705,2.705,2.786,2.786
62,2.701,2.701,2.78,2.78
63,2.696,2.696,2.775,2.775
64,2.691,2.691,2.771,2.771
65,2.687,2.687,2.766,2.766
66,2.683,2.683,2.761,2.761
67,2.678,2.678,2.756,2.756
68,2.673,2.673,2.751,2.751
69,2.669,2.669,2.746,2.746
70,2.664,2.664,2.741,2.741
71,2.66,2.66,2.737,2.737
72,2.655,2.655,2.731,2.731
73,2.651,2.651,2.727,2.727
74,2.646,2.646,2.721,2.721
75,2.641,2.641,2.717,2.717
76,2.637,2.637,2.712,2.712
77,2.632,2.632,2.707,2.707
78,2.628,2.628,2.702,2.702
79,2.624,2.624,2.697,2.697
80,2.619,2.619,2.692,2.692
81,2.615,2.615,2.688,2.688
82,2.61,2.61,2.683,2.683
83,2.606,2.606,2.678,2.678
84,2.601,2.601,2.674,2.674
85,2.597,2.597,2.669,2.669
86,2.593,2.593,2.664,2.664
87,2.588,2.588,2.659,2.659
88,2.584,2.584,2.654,2.654
89,2.579,2.579,2.65,2.65
90,2.575,2.575,2.645,2.645
91,2.57,2.57,2.64,2.64
92,2.567,2.567,2.636,2.636
93,2.562,2.562,2.631,2.631
94,2.558,2.558,2.627,2.627
95,2.553,2.553,2.622,2.622
96,2.549,2.549,2.617,2.617
97,2.545,2.545,2.613,2.613
98,2.541,2.541,2.608,2.608
99,2.537,2.537,2.603,2.603
100,2.532,2.532,2.599,2.599
101,2.528,2.528,2.594,2.594
102,2.523,2.523,2.59,2.59
103,2.519,2.519,2.586,2.586
104,2.515,2.515,2.581,2.581
105,2.51,2.51,2.576,2.576
106,2.506,2.506,2.572,2.572
107,2.502,2.502,2.567,2.567
108,2.498,2.498,2.563,2.563
109,2.494,2.494,2.558,2.558
110,2.489,2.489,2.554,2.554
111,2.485,2.485,2.549,2.549
112,2.481,2.481,2.545,2.545
113,2.477,2.477,2.541,2.541
114,2.473,2.473,2.536,2.536
115,2.469,2.469,2.532,2.532
116,2.464,2.464,2.528,2.528
117,2.46,2.46,2.523,2.523
118,2.456,2.456,2.519,2.519
119,2.452,2.452,2.514,2.514
120,2.448,2.448,2.51,2.51
121,2.444,2.444,2.506,2.506
122,2.44,2.44,2.502,2.502
123,2.436,2.436,2.497,2.497
124,2.432,2.432,2.493,2.493
125,2.428,2.428,2.489,2.489
126,2.424,2.424,2.485,2.485
127,2.42,2.42,2.48,2.48
128,2.416,2.416,2.476,2.476
129,2.412,2.412,2.472,2.472
130,2.408,2.408,2.468,2.468
131,2.404,2.404,2.464,2.464
132,2.4,2.4,2.459,2.459
133,2.396,2.396,2.455,2.455
134,2.392,2.392,2.451,2.451
135,2.388,2.388,2.447,2.447
136,2.384,2.384,2.443,2.443
137,2.38,2.38,2.439,2.439
138,2.376,2.376,2.435,2.435
139,2.373,2.373,2.43,2.43
140,2.369,2.369,2.426,2.426
141,2.365,2.365,2.422,2.422
142,2.361,2.361,2.418,2.418
143,2.357,2.357,2.414,2.414
144,2.353,2.353,2.41,2.41
145,2.349,2.349,2.406,2.406
146,2.346,2.346,2.402,2.402
147,2.342,2.342,2.398,2.398
148,2.338,2.338,2.394,2.394
149,2.334,2.334,2.391,2.391
150,2.331,2.331,2.386,2.386
151,2.327,2.327,2.382,2.382
152,2.323,2.323,2.379,2.379
153,2.32,2.32,2.375,2.375
154,2.316,2.316,2.371,2.371
155,2.312,2.312,2.367,2.367
156,2.309,2.309,2.363,2.363
157,2.305,2.305,2.359,2.359
158,2.301,2.301,2.355,2.355
159,2.298,2.298,2.352,2.352
160,2.294,2.294,2.348,2.348
161,2.29,2.29,2.344,2.344
162,2.287,2.287,2.34,2.34
163,2.283,2.283,2.336,2.336
164,2.28,2.28,2.332,2.332
165,2.276,2.276,2.329,2.329
166,2.273,2.273,2.325,2.325
167,2.269,2.269,2.321,2.321
168,2.266,2.266,2.317,2.317
169,2.262,2.262,2.314,2.314
170,2.258,2.258,2.31,2.31
171,2.255,2.255,2.306,2.306
172,2.252,2.252,2.303,2.303
173,2.248,2.248,2.299,2.299
174,2.245,2.245,2.295,2.295
175,2.241,2.241,2.291,2.291
176,2.238,2.238,2.288,2.288
177,2.234,2.234,2.284,2.284
178,2.231,2.231,2.28,2.28
179,2.227,2.227,2.277,2.277
180,2.224,2.224,2.273,2.273
181,2.221,2.221,2.27,2.27
182,2.217,2.217,2.266,2.266
183,2.214,2.214,2.263,2.263
184,2.211,2.211,2.259,2.259
185,2.207,2.207,2.256,2.256
186,2.204,2.204,2.252,2.252
187,2.201,2.201,2.249,2.249
188,2.197,2.197,2.245,2.245
189,2.194,2.194,2.242,2.242
190,2.191,2.191,2.238,2.238
191,2.188,2.188,2.235,2.235
192,2.184,2.184,2.231,2.231
193,2.181,2.181,2.228,2.228
194,2.178,2.178,2.225,2.225
195,2.174,2.174,2.221,2.221
196,2.171,2.171,2.218,2.218
197,2.168,2.168,2.215,2.215
198,2.165,2.165,2.211,2.211
199,2.162,2.162,2.208,2.208
200,2.158,2.158,2.205,2.205
201,2.155,2.155,2.201,2.201
202,2.152,2.152,2.198,2.198
203,2.149,2.149,2.194,2.194
204,2.146,2.146,2.191,2.191
205,2.143,2.143,2.188,2.188
206,2.14,2.14,2.185,2.185
207,2.136,2.136,2.181,2.181
208,2.133,2.133,2.178,2.178
209,2.13,2.13,2.175,2.175
210,2.127,2.127,2.172,2.172
211,2.124,2.124,2.168,2.168
212,2.121,2.121,2.165,2.165
213,2.118,2.118,2.162,2.162
214,2.115,2.115,2.159,2.159
215,2.112,2.112,2.156,2.156
216,2.109,2.109,2.152,2.152
217,2.106,2.106,2.149,2.149
218,2.103,2.103,2.146,2.146
219,2.1,2.1,2.143,2.143
220,2.097,2.097,2.14,2.14
221,2.094,2.094,2.137,2.137
222,2.091,2.091,2.134,2.134
223,2.088,2.088,2.131,2.131
224,2.085,2.085,2.128,2.128
225,2.082,2.082,2.125,2.125
226,2.079,2.079,2.122,2.122
227,2.076,2.076,2.119,2.119
228,2.074,2.074,2.116,2.116
229,2.071,2.071,2.113,2.113
230,2.068,2.068,2.109,2.109
231,2.065,2.065,2.107,2.107
232,2.062,2.062,2.104,2.104
233,2.059,2.059,2.101,2.101
234,2.056,2.056,2.098,2.098
235,2.054,2.054,2.095,2.095
236,2.051,2.051,2.092,2.092
237,2.048,2.048,2.089,2.089
238,2.045,2.045,2.086,2.086
239,2.042,2.042,2.083,2.083
240,2.04,2.04,2.08,2.08
241,2.037,2.037,2.077,2.077
242,2.034,2.034,2.074,2.074
243,2.032,2.032,2.072,2.072
244,2.029,2.029,2.069,2.069
245,2.026,2.026,2.066,2.066
246,2.023,2.023,2.063,2.063
247,2.021,2.021,2.06,2.06
248,2.018,2.018,2.057,2.057
249,2.015,2.015,2.055,2.055
250,2.013,2.013,2.052,2.052
251,2.01,2.01,2.049,2.049
252,2.008,2.008,2.046,2.046
253,2.005,2.005,2.043,2.043
254,2.002,2.002,2.041,2.041
255,2.0,2.0,2.038,2.038
256,1.997,1.997,2.035,2.035
257,1.995,1.995,2.033,2.033
258,1.992,1.992,2.03,2.03
259,1.989,1.989,2.027,2.027
260,1.987,1.987,2.025,2.025
261,1.984,1.984,2.022,2.022
262,1.982,1.982,2.019,2.019
263,1.979,1.979,2.017,2.017
264,1.977,1.977,2.014,2.014
265,1.974,1.974,2.011,2.011
266,1.972,1.972,2.009,2.009
267,1.969,1.969,2.006,2.006
268,1.967,1.967,2.004,2.004
269,1.964,1.964,2.001,2.001
270,1.962,1.962,1.998,1.998
271,1.959,1.959,1.996,1.996
272,1.957,1.957,1.993,1.993
273,1.954,1.954,1.991,1.991
274,1.952,1.952,1.988,1.988
275,1.95,1.95,1.986,1.986
276,1.947,1.947,1.983,1.983
277,1.945,1.945,1.981,1.981
278,1.942,1.942,1.978,1.978
279,1.94,1.94,1.976,1.976
280,1.938,1.938,1.973,1.973
281,1.935,1.935,1.971,1.971
282,1.933,1.933,1.968,1.968
283,1.931,1.931,1.966,1.966
284,1.928,1.928,1.964,1.964
285,1.926,1.926,1.961,1.961
286,1.924,1.924,1.959,1.959
287,1.921,1.921,1.956,1.956
288,1.919,1.919,1.954,1.954
289,1.917,1.917,1.951,1.951
290,1.914,1.914,1.949,1.949
291,1.912,1.912,1.947,1.947
292,1.91,1.91,1.944,1.944
293,1.908,1.908,1.942,1.942
294,1.905,1.905,1.94,1.94
295,1.903,1.903,1.937,1.937
296,1.901,1.901,1.935,1.935
297,1.899,1.899,1.933,1.933
298,1.896,1.896,1.93,1.93
299,1.894,1.894,1.928,1.928
300,1.892,1.892,1.926,1.926
301,1.89,1.89,1.923,1.923
302,1.888,1.888,1.921,1.921
303,1.885,1.885,1.919,1.919
304,1.883,1.883,1.917,1.917
305,1.881,1.881,1.914,1.914
306,1.879,1.879,1.912,1.912
307,1.877,1.877,1.91,1.91
308,1.875,1.875,1.908,1.908
309,1.873,1.873,1.905,1.905
310,1.87,1.87,1.903,1.903
311,1.868,1.868,1.901,1.901
312,1.866,1.866,1.899,1.899
313,1.864,1.864,1.896,1.896
314,1.862,1.862,1.894,1.894
315,1.86,1.86,1.892,1.892
316,1.858,1.858,1.89,1.89
317,1.856,1.856,1.888,1.888
318,1.854,1.854,1.886,1.886
319,1.852,1.852,1.884,1.884
320,1.85,1.85,1.881,1.881
321,1.848,1.848,1.879,1.879
322,1.845,1.845,1.877,1.877
323,1.843,1.843,1.875,1.875
324,1.841,1.841,1.873,1.873
325,1.839,1.839,1.871,1.871
326,1.837,1.837,1.869,1.869
327,1.835,1.835,1.867,1.867
328,1.833,1.833,1.865,1.865
329,1.831,1.831,1.862,1.862
330,1.829,1.829,1.86,1.86
331,1.828,1.828,1.858,1.858
332,1.826,1.826,1.856,1.856
333,1.824,1.824,1.854,1.854
334,1.822,1.822,1.852,1.852
335,1.82,1.82,1.85,1.85
336,1.818,1.818,1.848,1.848
337,1.816,1.816,1.846,1.846
338,1.814,1.814,1.844,1.844
339,1.812,1.812,1.842,1.842
340,1.81,1.81,1.84,1.84
341,1.808,1.808,1.838,1.838
342,1.806,1.806,1.836,1.836
343,1.805,1.805,1.834,1.834
344,1.803,1.803,1.833,1.833
345,1.801,1.801,1.831,1.831
346,1.799,1.799,1.829,1.829
347,1.797,1.797,1.827,1.827
348,1.795,1.795,1.825,1.825
349,1.793,1.793,1.823,1.823
350,1.792,1.792,1.821,1.821
351,1.79,1.79,1.819,1.819
352,1.788,1.788,1.817,1.817
353,1.786,1.786,1.815,1.815
354,1.784,1.784,1.813,1.813
355,1.782,1.782,1.812,1.812
356,1.781,1.781,1.81,1.81
357,1.779,1.779,1.808,1.808
358,1.777,1.777,1.806,1.806
359,1.775,1.775,1.804,1.804
360,1.774,1.774,1.802,1.802
361,1.772,1.772,1.8,1.8
362,1.77,1.77,1.799,1.799
363,1.768,1.768,1.797,1.797
364,1.767,1.767,1.795,1.795
365,1.765,1.765,1.793,1.793
366,1.763,1.763,1.791,1.791
367,1.761,1.761,1.79,1.79
368,1.76,1.76,1.788,1.788
369,1.758,1.758,1.786,1.786
370,1.756,1.756,1.784,1.784
371,1.755,1.755,1.783,1.783
372,1.753,1.753,1.781,1.781
373,1.751,1.751,1.779,1.779
374,1.75,1.75,1.777,1.777
375,1.748,1.748,1.776,1.776
376,1.746,1.746,1.774,1.774
377,1.745,1.745,1.772,1.772
378,1.743,1.743,1.77,1.77
379,1.741,1.741,1.769,1.769
380,1.74,1.74,1.767,1.767
381,1.738,1.738,1.765,1.765
382,1.736,1.736,1.764,1.764
383,1.735,1.735,1.762,1.762
384,1.733,1.733,1.76,1.76
385,1.732,1.732,1.759,1.759
386,1.73,1.73,1.757,1.757
387,1.728,1.728,1.755,1.755
388,1.727,1.727,1.754,1.754
389,1.725,1.725,1.752,1.752
390,1.724,1.724,1.75,1.75
391,1.722,1.722,1.749,1.749
392,1.72,1.72,1.747,1.747
393,1.719,1.719,1.745,1.745
394,1.717,1.717,1.744,1.744
395,1.716,1.716,1.742,1.742
396,1.714,1.714,1.741,1.741
397,1.713,1.713,1.739,1.739
398,1.711,1.711,1.737,1.737
399,1.71,1.71,1.736,1.736
400,1.708,1.708,1.734,1.734
401,1.707,1.707,1.733,1.733
402,1.705,1.705,1.731,1.731
403,1.704,1.704,1.729,1.729
404,1.702,1.702,1.728,1.728
405,1.701,1.701,1.726,1.726
406,1.699,1.699,1.725,1.725
407,1.698,1.698,1.723,1.723
408,1.696,1.696,1.722,1.722
409,1.695,1.695,1.72,1.72
410,1.693,1.693,1.719,1.719
411,1.692,1.692,1.717,1.717
412,1.69,1.69,1.716,1.716
413,1.689,1.689,1.714,1.714
414,1.687,1.687,1.713,1.713
415,1.686,1.686,1.711,1.711
416,1.685,1.685,1.71,1.71
417,1.683,1.683,1.708,1.708
418,1.682,1.682,1.707,1.707
419,1.68,1.68,1.705,1.705
420,1.679,1.679,1.704,1.704
421,1.677,1.677,1.702,1.702
422,1.676,1.676,1.701,1.701
423,1.675,1.675,1.699,1.699
424,1.673,1.673,1.698,1.698
425,1.672,1.672,1.696,1.696
426,1.67,1.67,1.695,1.695
427,1.669,1.669,1.694,1.694
428,1.668,1.668,1.692,1.692
429,1.666,1.666,1.691,1.691
430,1.665,1.665,1.689,1.689
431,1.663,1.663,1.688,1.688
432,1.662,1.662,1.686,1.686
433,1.661,1.661,1.685,1.685
434,1.659,1.659,1.684,1.684
435,1.658,1.658,1.682,1.682
436,1.657,1.657,1.681,1.681
437,1.655,1.655,1.679,1.679
438,1.654,1.654,1.678,1.678
439,1.653,1.653,1.677,1.677
440,1.651,1.651,1.675,1.675
441,1.65,1.65,1.674,1.674
442,1.649,1.649,1.673,1.673
443,1.647,1.647,1.671,1.671
444,1.646,1.646,1.67,1.67
445,1.645,1.645,1.669,1.669
446,1.644,1.644,1.667,1.667
447,1.642,1.642,1.666,1.666
448,1.641,1.641,1.665,1.665
449,1.64,1.64,1.663,1.663
450,1.638,1.638,1.662,1.662
451,1.637,1.637,1.661,1.661
452,1.636,1.636,1.659,1.659
453,1.635,1.635,1.658,1.658
454,1.633,1.633,1.657,1.657
455,1.632,1.632,1.655,1.655
456,1.631,1.631,1.654,1.654
457,1.63,1.63,1.653,1.653
458,1.628,1.628,1.652,1.652
459,1.627,1.627,1.65,1.65
460,1.626,1.626,1.649,1.649
461,1.625,1.625,1.648,1.648
462,1.623,1.623,1.646,1.646
463,1.622,1.622,1.645,1.645
464,1.621,1.621,1.644,1.644
465,1.62,1.62,1.643,1.643
466,1.619,1.619,1.641,1.641
467,1.617,1.617,1.64,1.64
468,1.616,1.616,1.639,1.639
469,1.615,1.615,1.638,1.638
470,1.614,1.614,1.636,1.636
471,1.613,1.613,1.635,1.635
472,1.611,1.611,1.634,1.634
473,1.61,1.61,1.633,1.633
474,1.609,1.609,1.631,1.631
475,1.608,1.608,1.63,1.63
476,1.607,1.607,1.629,1.629
477,1.606,1.606,1.628,1.628
478,1.604,1.604,1.627,1.627
479,1.603,1.603,1.625,1.625
480,1.602,1.602,1.624,1.624
481,1.601,1.601,1.623,1.623
482,1.6,1.6,1.622,1.622
483,1.599,1.599,1.621,1.621
484,1.598,1.598,1.62,1.62
485,1.596,1.596,1.618,1.618
486,1.595,1.595,1.617,1.617
487,1.594,1.594,1.616,1.616
488,1.593,1.593,1.615,1.615
489,1.592,1.592,1.614,1.614
