prop_to_talk,average_points_TFT,average_points_TFT95
0.0,2.97,3.099
0.001,2.97,3.096
0.002,2.97,3.093
0.003,2.968,3.094
0.004,2.968,3.092
0.005,2.968,3.087
0.006,2.963,3.096
0.007,2.96,3.103
0.008,2.964,3.085
0.009,2.96,3.092
0.01,2.958,3.097
0.011,2.96,3.085
0.012,2.958,3.083
0.013,2.954,3.087
0.014,2.955,3.086
0.015,2.957,3.079
0.016,2.954,3.082
0.017,2.953,3.081
0.018,2.954,3.071
0.019,2.95,3.079
0.02,2.95,3.081
0.021,2.952,3.078
0.022,2.948,3.071
0.023,2.949,3.072
0.024,2.947,3.067
0.025,2.947,3.066
0.026,2.946,3.059
0.027,2.941,3.064
0.028,2.942,3.07
0.029,2.939,3.067
0.03,2.942,3.056
0.031,2.939,3.057
0.032,2.939,3.057
0.033,2.935,3.072
0.034,2.934,3.066
0.035,2.935,3.059
0.036,2.935,3.057
0.037,2.936,3.049
0.038,2.928,3.06
0.039,2.929,3.05
0.04,2.931,3.048
0.041,2.929,3.055
0.042,2.927,3.052
0.043,2.925,3.051
0.044,2.923,3.048
0.045,2.925,3.04
0.046,2.922,3.052
0.047,2.921,3.038
0.048,2.921,3.05
0.049,2.917,3.047
0.05,2.918,3.039
0.051,2.918,3.04
0.052,2.917,3.039
0.053,2.914,3.044
0.054,2.912,3.039
0.055,2.913,3.035
0.056,2.911,3.027
0.057,2.91,3.031
0.058,2.911,3.033
0.059,2.912,3.026
0.06,2.906,3.027
0.061,2.909,3.022
0.062,2.905,3.025
0.063,2.903,3.021
0.064,2.905,3.022
0.065,2.901,3.021
0.066,2.904,3.011
0.067,2.896,3.023
0.068,2.898,3.015
0.069,2.896,3.012
0.07,2.895,3.012
0.071,2.893,3.013
0.072,2.895,3.007
0.073,2.892,3.014
0.074,2.89,3.01
0.075,2.892,3.011
0.076,2.893,3.001
0.077,2.886,3.001
0.078,2.888,3.006
0.079,2.888,2.998
0.08,2.888,3.007
0.081,2.882,3.002
0.082,2.884,2.998
0.083,2.881,3.002
0.084,2.88,2.998
0.085,2.879,2.996
0.086,2.876,3.006
0.087,2.878,2.998
