0.000: 2.9703  / 3.099
0.001: 2.9697402  / 3.0965
0.002: 2.96956  / 3.0927
0.003: 2.96756  / 3.0944
0.004: 2.9677  / 3.0924
0.005: 2.96774  / 3.0872
0.006: 2.96292  / 3.0961
0.007: 2.9602401  / 3.1026
0.008: 2.96432  / 3.0853
0.009: 2.96032  / 3.0924
0.010: 2.9585  / 3.0969
0.011: 2.95962  / 3.0847
0.012: 2.95838  / 3.0835
0.013: 2.9544  / 3.0875
0.014: 2.95526  / 3.0855
0.015: 2.95738  / 3.0793
0.016: 2.95366  / 3.082
0.017: 2.9527  / 3.0808
0.018: 2.95414  / 3.0707
0.019: 2.9503  / 3.0792
0.020: 2.9502802  / 3.0813
0.021: 2.9516199  / 3.0775
0.022: 2.9484  / 3.0712
0.023: 2.94866  / 3.0716
0.024: 2.94662  / 3.0674
0.025: 2.94736  / 3.066
0.026: 2.9456801  / 3.0593
0.027: 2.9407198  / 3.0645
0.028: 2.94174  / 3.0699
0.029: 2.9386  / 3.067
0.030: 2.9419198  / 3.0562
0.031: 2.93902  / 3.0571
0.032: 2.93856  / 3.0574
0.033: 2.93522  / 3.0717
0.034: 2.93382  / 3.0659
0.035: 2.93482  / 3.0586
0.036: 2.93482  / 3.0569
0.037: 2.93612  / 3.0492
0.038: 2.92802  / 3.0601
0.039: 2.9293401  / 3.0504
0.040: 2.9309402  / 3.0484
0.041: 2.92866  / 3.0555
0.042: 2.92692  / 3.0517
0.043: 2.92454  / 3.051
0.044: 2.9227  / 3.0482
0.045: 2.9249802  / 3.0397
0.046: 2.92222  / 3.052
0.047: 2.92092  / 3.0378
0.048: 2.92086  / 3.0502
0.049: 2.91744  / 3.047
0.050: 2.9177  / 3.0395
0.051: 2.9176  / 3.0398
0.052: 2.9170802  / 3.0386
0.053: 2.9142  / 3.0438
0.054: 2.91184  / 3.0394
0.055: 2.9131  / 3.0352
0.056: 2.91116  / 3.0267
0.057: 2.9101  / 3.0313
0.058: 2.91076  / 3.0327
0.059: 2.9122  / 3.0261
0.060: 2.9061  / 3.0267
0.061: 2.9085  / 3.0224
0.062: 2.9045  / 3.0247
0.063: 2.9028802  / 3.0214
0.064: 2.9054198  / 3.0218
0.065: 2.90098  / 3.0211
0.066: 2.90448  / 3.0111
0.067: 2.89642  / 3.0226
0.068: 2.8985  / 3.0147
0.069: 2.89584  / 3.012
0.070: 2.89524  / 3.0121
0.071: 2.8932  / 3.0132
0.072: 2.8949401  / 3.0072
0.073: 2.89208  / 3.0137
0.074: 2.89006  / 3.0096
0.075: 2.8919  / 3.0106
0.076: 2.89336  / 3.0012
0.077: 2.88594  / 3.0014
0.078: 2.8877401  / 3.0058
0.079: 2.8882802  / 2.9982
0.080: 2.88762  / 3.0072
0.081: 2.8822598  / 3.0017
0.082: 2.88436  / 2.9981
0.083: 2.88074  / 3.0021
0.084: 2.8798401  / 2.998
0.085: 2.8787198  / 2.9957
0.086: 2.87578  / 3.0057
0.087: 2.8782  / 2.9976
0.088: 2.8742  / 3.0043
0.089: 2.8733  / 2.9974
0.090: 2.87464  / 2.989
0.091: 2.8740802  / 2.9761
0.092: 2.8724  / 2.9838
0.093: 2.8712401  / 2.973
0.094: 2.8715599  / 2.9815
0.095: 2.86748  / 2.9764
0.096: 2.86858  / 2.9883
0.097: 2.86252  / 2.9819
0.098: 2.86656  / 2.9712
0.099: 2.86104  / 2.985
0.100: 2.8603  / 2.9798
0.101: 2.8608801  / 2.9723
0.102: 2.8588  / 2.9761
0.103: 2.85654  / 2.9763
0.104: 2.85644  / 2.9707
0.105: 2.8552  / 2.9615
0.106: 2.85584  / 2.9562
0.107: 2.85336  / 2.9647
0.108: 2.8510802  / 2.97
0.109: 2.8517  / 2.9693
0.110: 2.85288  / 2.9612
0.111: 2.8473  / 2.9621
0.112: 2.84874  / 2.9568
0.113: 2.84918  / 2.9526
